Aug 21, 2025  03:58:48 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 1 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1235, Volts
CEM Gain, 1.03E+003 
Sensitivity Factor, 1.99E-005 
Filament Current, 1.00, mAmps
Start time, Aug 21, 2025  03:58:48 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         138.00         Barium                1.00         3            OFF


Time(s)      Channel#1   

728.041,   2.9271E-008,  
729.055,   2.9141E-008,  
730.069,   2.7558E-008,  
731.083,   3.0573E-008,  
732.097,   3.0342E-008,  
733.111,   2.6809E-008,  
734.125,   2.8528E-008,  
735.139,   2.9899E-008,  
736.153,   2.6633E-008,  
737.167,   2.7221E-008,  
738.181,   2.7015E-008,  
739.195,   2.6945E-008,  
740.209,   2.6754E-008,  
741.223,   2.5045E-008,  
742.237,   2.7111E-008,  
743.251,   2.7784E-008,  
744.265,   2.5688E-008,  
745.279,   2.4131E-008,  
746.293,   2.6523E-008,  
747.307,   2.3106E-008,  
748.321,   2.5352E-008,  
749.335,   2.5126E-008,  
750.349,   2.5186E-008,  
751.363,   2.5724E-008,  
752.377,   2.2643E-008,  
753.391,   2.1925E-008,  
754.405,   2.4960E-008,  
755.419,   2.5734E-008,  
756.433,   2.3749E-008,  
757.447,   2.2799E-008,  
758.461,   2.4362E-008,  
759.475,   2.5090E-008,  
760.489,   2.4693E-008,  
761.503,   2.2317E-008,  
762.517,   2.3894E-008,  
763.531,   2.4312E-008,  
764.545,   2.3432E-008,  
765.559,   2.1789E-008,  
766.698,   2.4518E-008,  
767.712,   2.2055E-008,  
768.726,   2.2382E-008,  
769.787,   2.1794E-008,  
770.754,   2.0844E-008,  
771.768,   2.0658E-008,  
772.782,   2.0397E-008,  
773.796,   2.0332E-008,  
774.810,   2.3191E-008,  
775.824,   2.1874E-008,  
776.838,   1.8965E-008,  
777.852,   2.0397E-008,  
778.866,   2.1296E-008,  
779.880,   2.0302E-008,  
780.894,   1.9749E-008,  
781.908,   2.0513E-008,  
782.922,   2.2658E-008,  
783.936,   1.8889E-008,  
784.950,   1.7799E-008,  
785.964,   1.8518E-008,  
786.978,   1.9231E-008,  
787.992,   1.9121E-008,  
789.006,   1.6075E-008,  
790.020,   1.8020E-008,  
791.034,   1.8945E-008,  
792.048,   1.8673E-008,  
793.062,   1.6588E-008,  
794.076,   1.8372E-008,  
795.090,   1.8643E-008,  
796.104,   1.7799E-008,  
797.118,   1.5623E-008,  
798.132,   1.6166E-008,  
799.146,   1.8121E-008,  
800.160,   1.8628E-008,  
801.174,   1.5261E-008,  
802.188,   1.7472E-008,  
803.202,   1.7945E-008,  
804.216,   1.6668E-008,  
805.230,   1.7005E-008,  
806.244,   1.6005E-008,  
807.258,   1.7719E-008,  
808.272,   1.6382E-008,  
809.286,   1.6367E-008,  
810.300,   1.4673E-008,  
811.314,   1.7226E-008,  
812.328,   1.7291E-008,  
813.342,   1.4884E-008,  
814.356,   1.3573E-008,  
815.370,   1.5397E-008,  
816.384,   1.6588E-008,  
817.398,   1.2709E-008,  
818.412,   1.2327E-008,  
819.426,   1.6814E-008,  
820.440,   1.8281E-008,  
821.454,   1.5447E-008,  
